Product Name,Product Image,Price,Artikel-Nr.:,Anbieter Art.-Nr.:,Zustand:,Verfügbar:,Motorcode:,Laufleistung:,FIN:,Türen:,Anmerkung:,Kategorie:,Hersteller-Nr.:,Hersteller:,EAN:,Verkaufseinheit:,Gebrauchsnummer:,Herstellereinschränkung:,Betriebsart:,Ergänzungsartikel / Ergänzende Info 2:,Nettogewicht:,Allgemeine Hinweise:,Ergänzungsartikel / Ergänzende Info:,Vorgaben des Fahrzeugherstellers beachten,Artikelnummer des empfohlenen Zubehörs:,Alt- mit Neuteil zwingend abgleichen (insbesondere OE-Nr.),Abgasnorm:,Anzahl der Steckkontakte:,Gewicht:
"Abgasrückführventil Audi A6 (4A, C8) 05L131501A NQQL28J1",https://cdn.autoteile-markt.de/5a671db367027e01437e0254/310a9097db1efa3c6ed373de6e5da50e_550_500_75.jpg,"104,86 €",NQQL28J1,20172403,Gebraucht,1 Stück,DFBA,78.542 Km,WAUZZZF29KN104242,4,ohne Anbauteile 05L131501A 5 PINS,AGR-Ventil,,,,,,,,,,,,,,,,,
"Abgasrückführventil Audi A6 (4A, C8) 05L131512 7R2KKRW6",https://cdn.autoteile-markt.de/5a671db367027e01437e0254/e09a3aa01741e77bb22304f190d9358a_550_500_75.jpg,"361,80 €",7R2KKRW6,20717267,Gebraucht,1 Stück,DFBA,25.205 Km,WAUZZZF23KN065499,4,ohne Anbauteile 05L131512 05L 131 512 |,AGR-Ventil,,,,,,,,,,,,,,,,,
"Audi A6 8C 4A5 18-23 Hybrid TFSI 2,0 185KW DLGA Abgasrückführventil EGR AGR Ventil J2KEMK29",https://cdn.autoteile-markt.de/59a6b8a967027e327946a1d2/c353dea298e17c490e226682d1adea89_550_500_75.jpg,"114,00 €",J2KEMK29,875250,Gebraucht,1 Stück,,,,,,AGR-Ventil,7.01510.84,,,,,,,,,,,,,,,,
"AGR Ventil Abgasrückführungsventil für Audi 2,0 40 TDI DTPA DTP 05L131501M KWZN3Q8V",https://cdn.autoteile-markt.de/59636fea67027e6e13065511/406914def61b091cc8292748d25a748c_550_500_75.jpg,"129,00 €",KWZN3Q8V,433281,Gebraucht,1 Stück,DTPA,14.800 Km,,,,AGR-Ventil,,,,,,,,,,,,,,,,,
"AGR Ventil für Audi A4 A5 A6 A7 Q5 2,0 TDI DTPA DTP 05L131501M G8LK9RNG",https://cdn.autoteile-markt.de/59636fea67027e6e13065511/7ce892fdfa8a1613ad910ae7c7047f75_550_500_75.jpg,"99,00 €",G8LK9RNG,435758,Gebraucht,1 Stück,DTPA,,,,,AGR-Ventil,,,,,,,,,,,,,,,,,
"Abgasrückführventil Audi A6 (4A, C8) 05L131501A PW67QM3Q",https://cdn.autoteile-markt.de/5a671db367027e01437e0254/0ed052497dfb170015dda0a5f2dfe7cb_550_500_75.jpg,"226,20 €",PW67QM3Q,20717268,Gebraucht,1 Stück,DFBA,25.205 Km,WAUZZZF23KN065499,4,ohne Anbauteile 05L131501A,AGR-Ventil,,,,,,,,,,,,,,,,,
AGR-Ventil MAGNETI MARELLI 571822112174,https://cdn.autoteile-markt.de/tecdoc/0095/EGR_EV174C-WR_550_500_75.webp,"13,55 €",QLEPE463,H066P1,Fabrikneu,>10 Stück,,,,,,AGR-Ventil,571822112174,MAGNETI MARELLI,8050947064360,1,EV174C,,,,,,,,,,,,
"Abgasrückführventil Audi A6 (4A, C8) 05L131501 V9YQ831G",https://cdn.autoteile-markt.de/5a671db367027e01437e0254/492edd88f07f0c62e54152640d6515e6_550_500_75.jpg,"226,20 €",V9YQ831G,20717269,Gebraucht,1 Stück,DFBA,25.205 Km,WAUZZZF23KN065499,4,ohne Anbauteile 05L131501 A2C10181900 |,AGR-Ventil,,,,,,,,,,,,,,,,,
AGR-Ventil ELSTOCK 73-0374,https://cdn.autoteile-markt.de/tecdoc/0226/XR_08-03440_550_500_75.webp,"312,19 €",ER848GLK,0226_730374,Fabrikneu,7 Stück,,,,,,AGR-Ventil,73-0374,ELSTOCK,5704651610681,1,,CONTINENTAL,elektrisch,Niederdruckseite,"0,6 kg",XR_TRBLSHT_EGR_VLVS_...,,,,,,,
"Abgasrückführventil Audi A6 (4A, C8) 059131508AL KR46XMXZ",https://cdn.autoteile-markt.de/5a671db367027e01437e0254/3dfeb56babe08cbbbc5d67709603a2f0_550_500_75.jpg,"135,85 €",KR46XMXZ,14063341,Gebraucht,1 Stück,DDVE,,WAUZZZF25KN035615,,ohne Anbauteile 059131508AL | V29070771 | P1-A2-8 None,AGR-Ventil,,,,,,,,,,,,,,,,,
"Abgasrückführventil Audi A6 (4A, C8) 05L131512 JP6VWEV4",https://cdn.autoteile-markt.de/5a671db367027e01437e0254/ae2ef85cac06d67d60289b238ff409fa_550_500_75.jpg,"172,02 €",JP6VWEV4,20172540,Gebraucht,1 Stück,DFBA,78.542 Km,WAUZZZF29KN104242,4,ohne Anbauteile 05L131512,AGR-Ventil,,,,,,,,,,,,,,,,,
"Abgasrückführventil Audi A6 (4A, C8) 3Q0253691K 4Q2K1VP1",https://cdn.autoteile-markt.de/5a671db367027e01437e0254/6a0d06059427b1b4b2bebb7f843a6a94_550_500_75.jpg,"64,82 €",4Q2K1VP1,20172384,Gebraucht,1 Stück,DFBA,78.542 Km,WAUZZZF29KN104242,4,ohne Anbauteile 3Q0253691K 5 pines,AGR-Ventil,,,,,,,,,,,,,,,,,
AGR-Ventil CONTINENTAL/VDO 2803600010380,https://cdn.autoteile-markt.de/tecdoc/0083/2803600010380_550_500_75.webp,"121,50 €",6VMQ8KRJ,0083-2803600010380,Fabrikneu,10 Stück,,,,,,AGR-Ventil,2803600010380,CONTINENTAL/VDO,4103590698605,1,,,,Steuergerät/Software muss angelernt/upgedatet werden,,2803600010380_DS.pdf,ohne Dichtungen,,05L 131 547 E,,,,
AGR-Ventil DRI 717730374,https://cdn.autoteile-markt.de/tecdoc/0460/XR_08-03440_550_500_75.webp,"130,51 €",MW6PVZ39,14445115,Überholt,1 Stück,,,,,,AGR-Ventil,717730374,DRI,5708114530677,1,,CONTINENTAL,elektrisch,Niederdruckseite,"0,6 kg",XR_TRBLSHT_EGR_VLVS_...,,,,,,,
AGR-Ventil VALEO 700477,https://cdn.autoteile-markt.de/tecdoc/0021/EGR_VALVE_700477_01_550_500_75.webp,"161,20 €",RNPQ81L8,3494553,Fabrikneu,4 Stück,,,,,,AGR-Ventil,700477,VALEO,3276427004779,1,,,elektrisch,ohne Unterdruck-Bypass,,,mit Dichtungen,,,,Euro 6,5 -polig,"1,05 kg"
