Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings
"Drop It Sulfite & Tannin Reducer for Wine, 100% Natural",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_75b95dcd-68f2-4c1b-ac87-b1dc863ec5f0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_856730d3-1460-41f7-b811-2a510ab9af9c.png 4x","Stop wine headaches. No preservatives. Why Choose Drop It: Some products on the market treat only sulfites in wines for headaches. However, Drop It also binds to the tannins in wine which are also suspected to cause headaches. Tannins in young wines can cause an astringency or the tactile drying sensation and sense of bitterness they can leave in the mouth. Drop It will slightly smooth out the astringency while not changing the taste of the wine.,• Natural,• No Preservatives/No Artificial Preservatives,• No Artificial Sweeteners,• No Artificial Flavors,• No Artificial Colors,• Soy Free,• Gluten Free","Food Grade Hydrogen Peroxide, Natural Powdered Eggwhites Sunflower Lecithin.","Directions for Use: Shake lightly before each use and squeeze slightly in upright position to clear tip. Glass (6 oz) white 1-2 drops, Red 2-3 drops into the glass and swirl for 20 seconds. Bottle (770 ml) white 5-8 drops, Red 6-9 drops into the bottle. Re-cork the bottle and turn bottle upside down 2 times. Amounts of drops can be adjusted up to 4 drops for personal use. Keep out of direct sunlight or high heat. Each bottle contains 10 ml. Treats 45-55 glasses of wine. Treats 7-9 bottles of wine.",
Knob Creek Old-Fashioned Cocktail Kit,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a586376c-d107-4234-987c-5ad695d750ce.jpg 4x,,,,
BarkLogic Beer Line Cleaner,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f5510b2e-0c85-44ea-aca5-7cf25a8eedd6.jpg 4x,,,,
Ferment'n Home Fermentation Kit,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b19e9384-c3d8-4cd1-8aee-0999f462ff20.jpg 4x,,,,
Canlzo Eco-Friendly Fire,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0ac9b52f-1493-4c73-be47-adf09c5a2439.jpg 4x,,,,
Brooklyn Brew Shop Beer Making Kit: Everyday Ipa,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ad5b95fa-4ce2-4484-98fa-17c5519a92d3.jpg 4x,,,,
Shipyard Brewing Company Seasonal Beer in Bottles,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c42f559e-af06-4619-866a-d307d780dd0a.jpg 4x,Shipyard® Brewing Co Pumpkinhead Ale. 4.5% Alc./Vol.,,,"Government warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverage impairs your ability to drive a car or operate machinery, and may cause health problems."
Diastatic Malt Powder,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_75747d07-7b4d-4698-9e91-a725a1f5d6dc.jpg 4x,,,,
Brooklyn Brew Shop Afternoon Wheat Beer Making Mix,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_65feb62d-e82b-41f0-bf3e-8986e94382eb.jpg 4x,,,,
Brooklyn Brew Shop Brew Kit Bruxelles Blonde,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2259d7ec-4549-46bf-b1bd-f06de429267d.jpg 4x,,,,
Brooklyn Brew Shop Bruxelles Blonde Beer Making Mix,,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_974cb8a5-e36a-42b0-b1af-095a3eff352d.jpg 4x,,,,
True Tanked 64oz Growler Keg,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5353699d-bc81-4449-a990-93ee067511d2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f4418e23-36cb-41a7-9917-a2fe05e4a4c0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6a3f1165-777f-410f-8a86-f4be5409448d.jpg 4x","Get your hands on a gift that any beer lover would buy! The Tanked Growler Keg is a tour de force, outfitted with dual handles, an airtight rubber gasket and a durable stainless steel frame. At a capacious 64-ounces, it guarantees the safekeeping of any beverage - from home-brewed beer to an ale chosen straight from the still.,• Holds 64 oz,• Fill up at your favorite brewery,• Small enough to fit into your fridge,• Rubber seal keeps beer fresh for longer,• Great gift for any beer lover",,,
"Mr Beer Home Beer Kit, Premium Edition",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bd76f5de-3cde-4d09-8f7c-55333316aef3.jpg 4x,,"Malted Two Row Barley, Maltodextrins, Hops, Hop Extract, Water and Yeast.","Step 1: The included sanitizer makes it easy to create the sterile environment needed for making beer. Step 2: Brewing takes practically no time at all. Our easy to follow instructions will help guide you the entire way. Step 3: Once fermentation is complete, the convenient tap allows you to bottle your beer in minutes. Step 4: The simplest step of all, place your bottles in the refrigerator, and tell your friends to come on over! Complete brewing instructions inside.",Mr. Beer does not condone the use of this kit by anyone under the legal drinking age.
